Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2017-01-25,2318,2359.95,2318,2352.7,2344.037597,57398,3445,134543070,27693,48.25,41.95,34.7
2017-01-24,2310,2324,2294.5,2318,2313.607604,116887,2668,270430652,95581,81.77,29.5,8
2017-01-23,2259,2311,2259,2305.7,2297.802522,85630,4227,196760830,44570,52.05,52,46.7
2017-01-20,2291,2300,2266,2287.45,2284.203253,30986,2079,70778322,10796,34.84,34,-3.55
2017-01-19,2295,2297,2283,2290.3,2288.189813,67029,2505,153375075,50646,75.56,14,-4.7
2017-01-18,2284.6,2297,2267,2295,2284.124059,119113,3702,272068869,88437,74.25,30,10.4
2017-01-17,2260,2287,2252.55,2277.65,2277.251679,37969,2890,86464969,16111,42.43,34.45,17.65
2017-01-16,2252,2273.9,2230,2258.55,2257.994963,144740,5667,326822191,77719,53.7,43.9,6.55
2017-01-13,2350,2368,2241.5,2252,2272.632752,456961,25525,1038504535,154967,33.91,126.5,-98
2017-01-12,2339.9,2359.75,2303,2343.3,2334.19396,107161,7010,250134559,24156,22.54,56.75,3.4
2017-01-11,2315.45,2328,2282,2323.05,2306.849808,47233,3229,108959437,10459,22.14,46,7.6
2017-01-10,2319,2328.3,2289,2315.45,2316.626733,106618,4428,246994109,70938,66.53,39.3,-3.55
2017-01-09,2288,2310,2257.05,2303.75,2286.290986,40435,2907,92446176,6699,16.57,52.95,15.75
2017-01-06,2320,2329.8,2257,2283.6,2282.56935,264484,7145,603703072,198743,75.14,72.8,-36.4
2017-01-05,2378.55,2387,2325,2334.55,2350.993238,58559,4641,137671813,18851,32.19,62,-44
2017-01-04,2369.1,2386,2358.5,2378.55,2374.780686,25671,1838,60962995,8853,34.49,27.5,9.45
2017-01-03,2361,2371.35,2344.05,2368.5,2356.719368,49246,3549,116059002,24565,49.88,27.3,7.5
2017-01-02,2365,2375,2352.9,2359.05,2366.435336,25130,1644,59468520,6621,26.35,22.1,-5.95
2016-12-30,2351.9,2375.9,2351.9,2361.95,2365.270305,41479,3269,98109047,13043,31.44,24,10.05
2016-12-29,2304.9,2355,2304.9,2350.75,2345.57047,41571,2592,97507710,13822,33.25,50.1,45.85
2016-12-28,2325,2349,2308.05,2315.8,2335.514898,33696,2857,78697510,10046,29.81,40.95,-9.2
2016-12-27,2290,2329,2288.85,2321.85,2318.878334,31085,2375,72082333,9254,29.77,40.15,31.85
2016-12-26,2280,2300,2272.5,2292.1,2290.491588,30731,2077,70389097,10653,34.67,27.5,12.1
2016-12-23,2309,2315.7,2280,2290.2,2296.990593,28276,1839,64949706,9243,32.69,35.7,-18.8
2016-12-22,2312.75,2324.7,2286,2309.85,2306.118937,42989,2334,99137747,20698,48.15,38.7,-2.9
2016-12-21,2345,2345,2305,2312.75,2318.82432,31711,3432,73532238,13064,41.2,40,-32.25
2016-12-20,2290,2344,2287.45,2337.75,2327.677331,64670,4815,150530893,18059,27.92,56.55,47.75
2016-12-19,2288,2296.05,2262.9,2287.5,2275.835169,27513,1978,62615053,10169,36.96,33.15,-0.5
2016-12-16,2270.1,2286,2257.6,2281.75,2275.0114,44648,3201,101574709,14260,31.94,28.4,11.65
2016-12-15,2207.9,2271.5,2200.55,2259.5,2252.020753,106151,9049,239054255,34605,32.6,70.95,51.6
2016-12-14,2202,2223,2190,2207.9,2206.933371,56252,3712,124144416,23939,42.56,33,5.9
2016-12-13,2244,2244,2185,2200.85,2200.48849,40748,2981,89665505,11130,27.31,59,-43.15
2016-12-12,2195,2215.5,2166,2206.25,2202.442291,217687,4239,479443055,170616,78.38,49.5,11.25
