Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2016-05-30,1247,1270,1244.1,1263.45,1264.142171,132179,8396,167093048,53733,40.65,25.9,16.45
2016-05-27,1230,1256.85,1230,1246.4,1247.657528,169649,6628,211663852,87236,51.42,26.85,16.4
2016-05-26,1208,1236.9,1208,1231.65,1224.630686,112874,5490,138228964,55669,49.32,28.9,23.65
2016-05-25,1196,1212.85,1196,1208.85,1208.4759,54461,3082,65814806,21721,39.88,16.85,12.85
2016-05-24,1190,1194,1178.5,1188.2,1184.672283,84747,6426,100397422,30576,36.08,15.5,-1.8
2016-05-23,1201.5,1204.4,1185.55,1190.75,1192.776234,107246,6271,127920480,32929,30.7,18.85,-10.75
2016-05-20,1204,1219.5,1200.05,1201.75,1210.020537,49424,3787,59804055,19058,38.56,19.45,-2.25
2016-05-19,1209,1215.85,1201.1,1205.35,1208.288285,41837,2344,50551157,11271,26.94,14.75,-3.65
2016-05-18,1203.5,1213.95,1198,1209.75,1204.206598,66017,2803,79498107,20631,31.25,15.95,6.25
2016-05-17,1218,1225,1210,1214.05,1219.621619,61890,4748,75482382,19670,31.78,15,-3.95
2016-05-16,1210,1221.75,1208,1213.95,1214.918187,80904,4638,98291741,27304,33.75,13.75,3.95
2016-05-13,1207,1209,1192.65,1206.7,1202.714096,82888,3972,99690566,31583,38.1,16.35,-0.3
2016-05-12,1208.95,1212.5,1197.8,1210.2,1206.165486,115768,3517,139635366,27306,23.59,14.7,1.25
2016-05-11,1205,1214.95,1193,1201.05,1203.124021,109159,5888,131331815,36847,33.76,21.95,-3.95
2016-05-10,1200,1216,1196.4,1212.55,1207.171785,74273,3853,89660270,23646,31.84,19.6,12.55
2016-05-09,1190,1200.5,1181.55,1199.15,1193.011289,76269,4015,90989778,30612,40.14,18.95,9.15
2016-05-06,1192,1192,1176.7,1181.45,1181.826818,73541,4069,86912726,28560,38.84,15.3,-10.55
2016-05-05,1191,1199,1181.85,1192.45,1188.027194,531520,4047,631460214,480536,90.41,17.15,1.45
2016-05-04,1191,1192.5,1171.55,1189.55,1182.903043,108048,5763,127810308,29738,27.52,20.95,-1.45
2016-05-03,1200,1212.05,1174.3,1180.75,1189.546823,138555,7730,164817660,37514,27.08,37.75,-19.25
2016-05-02,1214,1214,1196.3,1200.65,1201.346583,116483,6201,139936454,36615,31.43,17.7,-13.35
2016-04-29,1212,1224.4,1206,1210.85,1213.934048,93993,5790,114101303,24520,26.09,18.4,-1.15
2016-04-28,1233,1239.9,1210.05,1211.45,1213.381473,517659,6966,628117840,31008,5.99,29.85,-21.55
2016-04-27,1229.9,1242,1228.2,1240,1236.949672,69424,4448,85873994,30152,43.43,13.8,10.1
2016-04-26,1215,1239,1209,1232.95,1227.675348,120720,7283,148204968,44939,37.23,30,17.95
2016-04-25,1214,1224.45,1201.05,1217.05,1213.16389,129233,6957,156780809,43129,33.37,23.4,3.05
2016-04-22,1221,1229,1210,1213.85,1216.598418,96304,6191,117163294,24970,25.93,19,-7.15
2016-04-21,1250,1250,1219,1226.4,1228.735295,151414,6596,186047726,44808,29.59,31,-23.6
2016-04-20,1245,1249.95,1225.5,1243.25,1237.567063,151925,7815,188017376,45239,29.78,24.45,-1.75
2016-04-18,1245.55,1267.9,1233.45,1238.8,1247.865693,753862,29252,940718527,269636,35.77,34.45,-6.75
2016-04-13,1194,1195,1166.5,1172.05,1174.797903,801832,21119,941990552,581221,72.49,28.5,-21.95
2016-04-12,1185,1194.95,1178.6,1182.3,1186.598076,170027,5913,201753711,101894,59.93,16.35,-2.7
2016-04-11,1167,1187.25,1151.4,1184.4,1170.079448,147732,8614,172858177,36667,24.82,35.85,17.4
2016-04-08,1175,1178,1162.05,1167.35,1169.387012,92191,5831,107806958,29429,31.92,15.95,-7.65
2016-04-07,1212,1214.85,1164,1181.65,1165.094165,5832025,12730,6794858295,5594017,95.92,50.85,-30.35
2016-04-06,1224.5,1228,1197,1201.1,1208.192228,103294,6832,124799008,32816,31.77,31,-23.4
2016-04-05,1243,1243,1215,1218.6,1232.193047,246634,5125,303900700,30431,12.34,28,-24.4
2016-04-04,1212,1249.9,1212,1243.55,1234.555585,119168,8404,147119520,49484,41.52,37.9,31.55
2016-04-01,1212,1221.8,1197,1205.9,1209.20508,123298,11268,149092568,40994,33.25,24.8,-6.1
2016-03-31,1210,1228.95,1200.6,1217.95,1217.194919,113873,6444,138605637,35200,30.91,28.35,7.95
2016-03-30,1200,1209,1196,1205.8,1203.839399,78561,4846,94574827,24438,31.11,13,5.8
2016-03-29,1200,1217.5,1191.6,1198.95,1206.596247,114575,4903,138245765,38598,33.69,25.9,-1.05
2016-03-28,1229.95,1234.65,1196.2,1204.7,1214.965202,162252,7545,197130534,49569,30.55,38.45,-25.25
2016-03-23,1189,1212,1181.95,1207.75,1199.259314,159976,7268,191852708,80503,50.32,30.05,18.75
2016-03-22,1194,1194,1172.3,1189.9,1182.133376,106871,4574,126335776,36119,33.8,21.7,-4.1
2016-03-21,1187,1199,1180.2,1195,1189.72204,120111,6485,142898704,47988,39.95,18.8,8
2016-03-18,1161,1195.8,1161,1190.2,1180.172285,148307,7350,175027811,54272,36.59,34.8,29.2
2016-03-17,1156,1169.9,1154,1160.2,1161.759301,67113,4471,77969152,23762,35.41,15.9,4.2
