Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2015-09-24,2387.65,2421,2371,2380.65,2397.707456,12487,1038,29940173,1900,15.22,50,-7
2015-09-23,2386.1,2405,2384.45,2401.3,2394.971373,14357,716,34384604,3564,24.82,20.55,15.2
2015-09-22,2433,2448,2376.65,2386.1,2408.420545,9326,1184,22460930,4021,43.12,71.35,-46.9
2015-09-21,2427.7,2448,2394.65,2424.8,2424.942215,7649,702,18548383,1219,15.94,53.35,-2.9
2015-09-18,2375,2443.5,2375,2428.55,2425.703063,23995,2414,58204745,5531,23.05,68.5,53.55
2015-09-16,2322.25,2379.95,2321.7,2363,2362.363721,22674,2172,53564235,4157,18.33,58.25,40.75
2015-09-15,2350,2350,2307.95,2310.6,2313.877114,35594,1970,82360142,21190,59.53,42.05,-39.4
2015-09-14,2350,2360.45,2322.35,2348.6,2341.224582,7485,646,17524066,2071,27.67,38.1,-1.4
2015-09-11,2349.9,2366.95,2332.9,2342.05,2343.20142,15773,996,36959316,4377,27.75,34.05,-7.85
2015-09-10,2347,2363,2300.05,2343.95,2348.023304,80844,1474,189823596,67294,83.24,62.95,-3.05
2015-09-09,2328.05,2369.8,2328.05,2347.75,2352.561032,14304,1155,33651033,3885,27.16,41.75,19.7
2015-09-08,2292,2330,2286.6,2317.3,2308.067053,17792,1276,41065129,4190,23.55,43.4,25.3
2015-09-07,2293,2312.5,2259.1,2279.8,2279.944541,30383,1677,69271555,13912,45.79,53.4,-13.2
2015-09-04,2330,2336.9,2270,2292.55,2289.099496,30926,2280,70792691,8180,26.45,66.9,-37.45
2015-09-03,2350,2365,2322.9,2329.95,2337.07791,24015,1884,56124926,8171,34.02,42.1,-20.05
2015-09-02,2360.15,2388.4,2302.7,2343.25,2347.727251,47014,3283,110376049,9585,20.39,85.7,-16.9
2015-09-01,2394.95,2395.4,2369.55,2385.3,2381.638847,44178,2354,105216041,31736,71.84,25.85,-9.65
